-0.658996,-0.0232759
-0.656904,-0.0223448
-0.650628,-0.024
-0.635983,-0.0207931
-0.610879,-0.0192414
-0.598326,-0.0235862
-0.583682,-0.0175862
-0.558577,-0.0161379
-0.525105,-0.014069
-0.485356,-0.0127241
-0.460251,-0.021
-0.449791,-0.0113793
-0.420502,-0.0100345
-0.389121,-0.00858621
-0.357741,-0.00703448
-0.32636,-0.0181034
-0.261506,-0.00289655
-0.198745,-0.0147931
-0.156904,0.00113793
-0.0878661,0.00372414
-0.0857741,-0.011069
-0.0125523,0.00641379
0.0585774,-0.006
0.135983,0.0112759
0.205021,-0.00062069
0.257322,0.0147931
0.305439,0.00341379
0.33682,0.017069
0.420502,0.0192414
0.430962,0.00889655
0.512552,0.0212069
0.527197,0.0133448
0.583682,0.0162414
0.600418,0.023069
0.638075,0.0191379
0.648536,0.0238966
0.688285,0.0222414
0.698745,0.0241034
